 1523646310.37185, -0.0999992, 1.337e-11, -15.00001, -8.671e-10
1523646310.4968781, -0.1000002, -1.99e-11, -14.38777, -6.257e-10
1523646310.590503, -0.1000005, 4.68e-12, -13.77551, -5.333e-10
1523646310.687231, -0.1, -3.255e-11, -13.16327, -4.506e-10
1523646310.7917619, -0.0999988, -1.57e-12, -12.55103, -3.113e-10
1523646310.9326138, -0.0999989, -6e-11, -11.93879, -2.346e-10
1523646311.03926, -0.0999999, -2.524e-11, -11.32653, -1.479e-10
1523646311.16431, -0.1000015, -4.87e-11, -10.7143, -3.6e-11
1523646311.2672992, -0.1, -1.928e-11, -10.10203, 2.67e-11
1523646311.3719401, -0.0999987, -1.0153e-10, -9.4898, 6.79e-11
1523646311.539098, -0.0999999, -4.11e-11, -8.87755, 1.244e-10
1523646311.6637871, -0.0999984, -1.296e-10, -8.26532, 2.502e-10
1523646311.7575328, -0.0999983, -7.924e-11, -7.65307, 2.708e-10
1523646311.8544068, -0.1000012, -1.5078e-10, -7.04082, 3.203e-10
1523646312.012396, -0.0999995, -7.819e-11, -6.42857, 3.721e-10
1523646312.1400309, -0.1000013, -1.271e-10, -5.81633, 3.695e-10
1523646312.264571, -0.1000001, -3.84e-11, -5.20409, 4.514e-10
1523646312.358028, -0.100002, -1.5901e-10, -4.59184, 4.837e-10
1523646312.499434, -0.0999996, -1.628e-10, -3.9796, 5.186e-10
1523646312.606088, -0.100001, -1.1713e-10, -3.36735, 5.358e-10
1523646312.731369, -0.1000007, -8.32e-11, -2.75511, 6.333e-10
1523646312.825293, -0.1, -1.7013e-10, -2.14286, 6.504e-10
1523646312.940074, -0.1000023, -2.2041e-10, -1.530616, 6.79e-10
1523646313.046256, -0.0999994, -1.7909e-10, -0.918367, 7.531e-10
1523646313.1511512, -0.0999996, -1.9376e-10, -0.306121, 7.583e-10
1523646313.2559202, -0.0999999, -2.2814e-10, 0.306122, 7.462e-10
1523646313.381068, -0.0999998, -1.662e-10, 0.918367, 8.18e-10
1523646313.531483, -0.0999987, -1.861e-10, 1.530613, 7.944e-10
1523646313.65693, -0.1000011, -1.906e-10, 2.14286, 7.625e-10
1523646313.7810838, -0.0999999, -1.669e-10, 2.75509, 8.255e-10
1523646313.884906, -0.1, -1.6139e-10, 3.36734, 8.186e-10
1523646314.00563, -0.0999983, -1.4826e-10, 3.97958, 7.9e-10
1523646314.11275, -0.100002, -1.3835e-10, 4.59184, 8.73e-10
1523646314.208014, -0.1000005, -1.851e-10, 5.20408, 8.606e-10
1523646314.3130329, -0.1000006, -1.8881e-10, 5.81632, 9.354e-10
1523646314.417839, -0.1000005, -2.2424e-10, 6.42856, 9.364e-10
1523646314.577961, -0.1000009, -1.3363e-10, 7.04082, 9.15e-10
1523646314.683061, -0.1000006, -2.3378e-10, 7.65305, 9.431e-10
1523646314.769095, -0.1000007, -2.3835e-10, 8.2653, 9.033e-10
1523646314.865803, -0.1000004, -2.064e-10, 8.87755, 9.42e-10
1523646315.018487, -0.1, -1.3658e-10, 9.48979, 8.347e-10
1523646315.125157, -0.0999992, -8.314e-11, 10.10204, 7.75e-10
1523646315.2497659, -0.1000008, -1.196e-10, 10.71428, 7.998e-10
1523646315.374464, -0.0999996, -1.309e-10, 11.32653, 7.182e-10
1523646315.524538, -0.0999988, -1.051e-10, 11.93878, 7.908e-10
1523646315.641098, -0.1000019, -2.386e-10, 12.55102, 8.417e-10
1523646315.7659378, -0.0999996, -1.836e-10, 13.16326, 9.75e-10
1523646315.859519, -0.1000005, -1.6465e-10, 13.77551, 9.305e-10
1523646315.97487, -0.1000009, -1.9156e-10, 14.38775, 1.0038e-09
1523646316.080778, -0.1000012, -8.656e-11, 14.99999, 1.0797e-09
1523646316.122069, -0.1000032, -1.004e-10, 14.99999, 9.887e-10
1523646316.218763, -0.0999995, -1.1456e-10, 14.38776, 8.879e-10
1523646316.323497, -0.0999979, -1.2914e-10, 13.77552, 7.195e-10
1523646316.4281259, -0.1000002, -1.2318e-10, 13.16326, 6.49e-10
1523646316.587019, -0.0999984, -4.186e-11, 12.55102, 5.119e-10
1523646316.700175, -0.0999995, -1.134e-10, 11.93877, 4.517e-10
1523646316.824991, -0.0999997, -1.815e-10, 11.32653, 3.094e-10
1523646316.92867, -0.1000003, -1.2662e-10, 10.71428, 2.632e-10
1523646317.076583, -0.0999999, -9.322e-11, 10.10204, 1.589e-10
1523646317.1917892, -0.0999998, -6.89e-11, 9.4898, 7.17e-11
1523646317.295552, -0.1, -4.081e-11, 8.87754, 5.84e-11
1523646317.400667, -0.0999995, -4.768e-11, 8.2653, -3.1e-12
1523646317.558146, -0.0999992, -1.1866e-10, 7.65305, -7.99e-11
1523646317.6652958, -0.1000003, -6.814e-11, 7.04081, -7.43e-11
1523646317.7703612, -0.1000009, -1.0183e-10, 6.42856, -1.554e-10
1523646317.875069, -0.0999981, -4.651e-11, 5.81633, -2.322e-10
1523646318.0257978, -0.1000003, -3.82e-11, 5.20408, -2.553e-10
1523646318.142477, -0.1000009, -4.87e-11, 4.59184, -2.858e-10
1523646318.2452831, -0.1000006, 5.258e-11, 3.97958, -3.186e-10
1523646318.359522, -0.1000005, -3.41e-11, 3.36735, -3.795e-10
1523646318.501798, -0.1000003, -2.6e-12, 2.75509, -3.783e-10
1523646318.6181052, -0.1, -1.266e-10, 2.14285, -3.638e-10
1523646318.744766, -0.0999995, 2.94e-11, 1.530611, -4.347e-10
1523646318.868484, -0.099997, -5.3e-12, 0.918369, -3.875e-10
1523646319.012144, -0.0999995, -2e-11, 0.306122, -3.976e-10
1523646319.118034, -0.0999978, 5.659e-11, -0.30612, -3.807e-10
1523646319.2432451, -0.1000016, 1.007e-10, -0.918369, -4.892e-10
1523646319.346922, -0.1000018, 3.186e-11, -1.530615, -4.63e-10
1523646319.4748192, -0.1000003, 1.341e-11, -2.14286, -4.785e-10
1523646319.579641, -0.0999992, -1.691e-11, -2.75511, -5.13e-10
1523646319.695231, -0.0999996, 1.2e-12, -3.36735, -5.616e-10
1523646319.820516, -0.1000002, -4.84e-11, -3.9796, -5.328e-10
1523646319.924447, -0.0999999, 4.673e-11, -4.59184, -6.371e-10
1523646320.054935, -0.099999, 1.4469e-10, -5.20409, -5.997e-10
1523646320.162185, -0.1000004, 9.415e-11, -5.81634, -6.435e-10
1523646320.277247, -0.0999995, -3.37e-11, -6.42857, -6.741e-10
1523646320.380925, -0.1000009, 4.814e-11, -7.04083, -6.711e-10
1523646320.506997, -0.0999998, 1.023e-11, -7.65307, -7.081e-10
1523646320.613019, -0.1000016, -3.4e-13, -8.26531, -7.015e-10
1523646320.7177, -0.1000001, 1.0645e-10, -8.87755, -6.966e-10
1523646320.812437, -0.1000014, 6.88e-11, -9.48981, -7.733e-10
1523646320.909135, -0.100002, 6.566e-11, -10.10204, -8.185e-10
1523646321.031021, -0.1000007, 1.1971e-10, -10.7143, -7.919e-10
1523646321.145889, -0.1000021, 1.31e-11, -11.32653, -8.008e-10
1523646321.270025, -0.0999991, 4.44e-11, -11.93879, -7.808e-10
1523646321.363536, -0.0999995, 5.538e-11, -12.55103, -8.471e-10
1523646321.4603462, -0.0999977, 1.0565e-10, -13.16328, -9.017e-10
1523646321.6214342, -0.1000018, 2.309e-11, -13.77552, -8.31e-10
1523646321.726602, -0.1, -2.196e-11, -14.38777, -8.895e-10
1523646321.8413498, -0.1000011, 6.12e-11, -15.0, -9.32e-10
